geohash4,lat_c,lng_c,mean_severity,event_count,lisa_cluster
9mgj,33.2338,-119.4559,2.394114411441144,3636,0
9myr,33.6192,-114.71689999999998,1.7817919075144508,692,0
9q96,36.9394,-121.79,1.9593691526329857,3741,0
9q9h,37.4059,-122.049,1.5209812782440284,1549,0
9qbe,38.5037,-122.811,2.09259941089838,5432,0
9qfy,39.1906,-119.7319,1.4810756972111554,2008,0
9qqn,36.212,-115.194,1.2877138413685847,643,0
9qu8,38.0505,-117.0904,1.4890864995957962,1237,0
9qx5,37.0906,-113.59310000000002,1.5682001614205003,1239,0
9qxd,36.9599,-113.0139,1.227333631085306,2239,0
9qyr,39.2953,-114.84660000000001,1.500562851782364,2665,0
9r4c,39.6682,-119.87639999999999,1.4062593144560358,3355,0
9rwe,42.7274,-114.45469999999999,1.5779411764705882,2720,0
9rxu,42.9203,-112.5711,1.4911822338340954,3062,0
9tez,32.2885,-106.9132,1.355188141391106,1754,0
9tr6,30.048100000000005,-102.2131,1.361344537815126,119,0
9tsk,31.8111,-106.3758,1.3087719298245615,855,0
9tud,32.8519,-106.1085,1.4533388635420987,2411,3
9v7r,30.8721,-96.6222,1.5650337837837838,3552,0
9vd9,31.143331911203607,-97.61155745172853,1.652560989709793,8649,0
9vek,31.6412,-96.5144,1.4765438642989663,3773,0
9vrf,29.992800000000003,-90.2508,1.5192307692307692,4680,0
9vrj,30.5378,-91.1468,1.599604221635884,4548,0
9w20,35.3022,-112.19419999999998,1.5123297754876701,2717,0
9wmp,36.4259,-105.2903,1.4944776806258628,4346,0
9wqx,36.4483,-103.1537,1.640536149471974,2462,0
9wss,37.4393,-105.86180000000002,1.7793783169067476,2638,0
9wt9,36.7418,-104.5076,1.5350809560524288,2594,0
9wu8,38.0972,-106.1689,1.2124075595727197,2434,0
9wur,39.2281,-106.31610000000002,1.5085723705901748,6066,0
9x2m,41.7865,-111.8519,1.8103792415169662,4509,0
9x3m,41.8241,-110.557,1.528641975308642,4050,0
9xc0,43.745,-111.0912,1.4244274809160304,5240,0
9xm6,41.1579,-104.8081,1.6685024914765276,3813,0
9xmf,41.1533,-104.1302,1.4459724950884087,2545,0
9xq6,41.1881,-103.6774,1.4849807445442875,3895,0
9y1m,34.6986,-99.3381,1.6149425287356323,4698,0
9y7t,36.0425,-95.99,1.5764673463764123,3629,0
9ydw,37.6472,-97.4294,1.4899792674498964,2894,0
9yf2,38.0655,-97.8606,1.668997668997669,3003,0
9ymh,36.0103,-94.1678,1.7109612875163114,4598,0
9ynu,34.5995,-91.575,1.734284440481498,4486,1
9yuv,38.9597,-94.3714,1.5437864887406172,3597,0
9yuw,39.1209,-94.5972,1.4867507886435332,3170,0
9yyj,38.9467,-92.6827,1.808262953663547,4381,0
9yz7,38.5876,-90.9938,1.7084633385335413,5128,0
9z61,40.9611,-98.3136,1.6871809415768577,3526,0
